device_type,iteration,particle,candidate,warmup_alpha,stable_alpha,drift_alpha,anchor_strength,confirmation_windows,stable_batch_size,threshold_ceiling,objective,feasible,stable_fpr,controlled_drift_fpr,worst_client_stable_fpr,worst_client_controlled_drift_fpr,detection_rate,worst_group_detection,mean_group_shortfall,maximum_group_shortfall
sensor,2,2,pso,0.463582295501215,8.791887165802012e-05,0.24999999999999994,0.4987337802497762,8,128,1.4387909280492446,1000006.3446036945,False,0.0,0.0,0.0,0.0,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,2,3,pso,0.2992460208304839,7.070333618051004e-05,0.2170651713923146,0.4104495351583418,28,89,1.43956577580401,1000006.4874608374,False,0.0,0.015873015873015872,0.0,0.1111111111111111,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,2,4,pso,0.2171640112451828,4.211447770929874e-05,0.19348511861300643,0.48255820063467075,11,86,1.1140440244420782,1000006.402143377,False,0.0,0.007936507936507936,0.0,0.041666666666666664,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,2,5,pso,0.28646594842905126,6.6697506868755e-05,0.13537570541673327,0.5100340229524869,8,128,1.3839349603758968,1000006.398175123,False,0.0,0.005952380952380952,0.0,0.041666666666666664,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,2,6,pso,0.12662066975100758,2.227104351422368e-05,0.06700549911991321,0.21068052076727328,14,74,1.4323696381287658,1000006.4596830596,False,0.0,0.015873015873015872,0.0,0.08333333333333333,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,2,7,pso,0.35473499521423174,0.00020664916597419244,0.17965801527316722,0.4367508280089314,10,128,1.4421886169065432,1000006.398175123,False,0.0,0.005952380952380952,0.0,0.041666666666666664,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,2,8,pso,0.10901888018081304,0.0002616929920455562,0.04735654695833551,0.42949522234075743,25,124,1.426587924684679,1000006.8247624247,False,0.0,0.05952380952380952,0.0,0.3611111111111111,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,3,1,pso,0.40250591856564705,0.00013186033072209763,0.15075961266688762,0.4432991173166287,9,127,1.4631191762978673,1000006.3624608374,False,0.0,0.001984126984126984,0.0,0.013888888888888888,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,3,2,pso,0.49659035105714716,0.00023062011457970817,0.24999999999999994,0.6,8,128,1.4003847001099672,1000006.4517465517,False,0.0,0.011904761904761904,0.0,0.08333333333333333,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,3,3,pso,0.7500000000000001,0.00013895497916876275,0.24999999999999994,0.6,8,128,1.4279595626664872,1000006.3664290913,False,0.0,0.003968253968253968,0.0,0.013888888888888888,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,3,4,pso,0.36129492212386755,1e-05,0.24999999999999994,0.5064788844449687,8,123,1.4870215479135798,1000006.3803179802,False,0.0,0.003968253968253968,0.0,0.027777777777777776,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,3,5,pso,0.7500000000000001,1.3666862496638655e-05,0.243100311301299,0.45250016546410393,8,128,1.4856242104783264,1000006.4973814723,False,0.0,0.027777777777777776,0.0,0.09722222222222222,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,3,6,pso,0.3205306574804695,4.8432432407508874e-05,0.24999999999999994,0.36407114016567393,8,128,1.3899356404034549,1000006.3803179802,False,0.0,0.003968253968253968,0.0,0.027777777777777776,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
