model,attack_family,attack_type,raw_detected_windows,confirmed_windows,total_windows,detected_events,total_events,raw_detection_rate,detection_rate,event_detection_rate
Adaptive Fisher-Weighted Z,dos,syn-flood-port-443,8,6,8,2,2,1.0,0.75,1.0
Adaptive Fisher-Weighted Z,dos,tcp-flood-port-443,8,6,8,2,2,1.0,0.75,1.0
Adaptive Fisher-Weighted Z,ddos,http-flood-port-80,63,56,63,7,7,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,dos,syn-flood-port-557,4,3,4,1,1,1.0,0.75,1.0
Adaptive Fisher-Weighted Z,dos,tcp-flood-port-554,12,9,12,3,3,1.0,0.75,1.0
Adaptive Fisher-Weighted Z,dos,syn-flood-port-554,8,6,8,2,2,1.0,0.75,1.0
Adaptive Fisher-Weighted Z,dos,tcp-flood-port-23,4,3,4,1,1,1.0,0.75,1.0
Adaptive Fisher-Weighted Z,dos,tcp-flood-port-22,4,3,4,1,1,1.0,0.75,1.0
Adaptive Fisher-Weighted Z,dos,syn-flood-port-23,4,3,4,1,1,1.0,0.75,1.0
Adaptive Fisher-Weighted Z,ddos,ack-frag-flood-port-80,63,56,63,7,7,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,dos,icmp-frag-flood,117,104,117,13,13,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,dos,ack-frag-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,dos,udp-frag-flood,126,112,126,14,14,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,ddos,icmp-frag-flood,117,104,117,13,13,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,ddos,udp-frag-flood,117,104,117,13,13,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,ddos,ack-frag-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,web,sql-injection-blind,158,157,158,1,1,1.0,0.9936708860759493,1.0
Adaptive Fisher-Weighted Z,dos,http-flood-port-9595,9,8,9,1,1,1.0,0.8888888888888888,1.0
