model,device_name,device_type,source_file,attack_family,attack_type,raw_detected_windows,detected_windows,total_windows,raw_detection_rate,detection_rate
Adaptive Fisher-Weighted Z,device_5,security_camera,5.mirai.syn.csv,Mirai,syn,52596,52596,52597,0.9999809875087933,0.9999809875087933
Adaptive Fisher-Weighted Z,device_5,security_camera,5.mirai.udp.csv,Mirai,udp,124992,124991,124999,0.9999439995519964,0.9999359994879959
Adaptive Fisher-Weighted Z,device_5,security_camera,5.mirai.udpplain.csv,Mirai,udpplain,45345,45344,45345,1.0,0.9999779468519131
Adaptive Fisher-Weighted Z,device_6,security_camera,6.gafgyt.combo.csv,Gafgyt,combo,46018,46017,46024,0.999869633234834,0.9998479054406396
Adaptive Fisher-Weighted Z,device_6,security_camera,6.gafgyt.junk.csv,Gafgyt,junk,23253,23252,23255,0.9999139969898947,0.9998709954848419
Adaptive Fisher-Weighted Z,device_6,security_camera,6.gafgyt.scan.csv,Gafgyt,scan,22717,22717,22718,0.9999559820406726,0.9999559820406726
Adaptive Fisher-Weighted Z,device_6,security_camera,6.gafgyt.tcp.csv,Gafgyt,tcp,71447,71499,71510,0.9991190043350581,0.9998461753600895
Adaptive Fisher-Weighted Z,device_6,security_camera,6.gafgyt.udp.csv,Gafgyt,udp,83648,83715,83727,0.999056457295735,0.99985667705758
Adaptive Fisher-Weighted Z,device_6,security_camera,6.mirai.ack.csv,Mirai,ack,46398,46397,46398,1.0,0.9999784473468684
Adaptive Fisher-Weighted Z,device_6,security_camera,6.mirai.scan.csv,Mirai,scan,77677,77676,77677,1.0,0.9999871261763457
Adaptive Fisher-Weighted Z,device_6,security_camera,6.mirai.syn.csv,Mirai,syn,49481,49480,49481,1.0,0.9999797902225096
Adaptive Fisher-Weighted Z,device_6,security_camera,6.mirai.udp.csv,Mirai,udp,126882,126881,126887,0.9999605948599936,0.9999527138319922
